"title","rating","totalRatings","runningTime","releaseDate","poster","genres"
"The Lion King (2019)","7.2","62,336","1h 58min","19 July 2019 (USA)","https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","[""Animation"",""Adventure"",""Drama""]"
"Spider-Man: Far from Home (2019)","7.9","135,329","2h 9min","2 July 2019 (USA)","https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","[""Action"",""Adventure"",""Sci-Fi""]"
